대학교명,학과명,대학교ID,학과ID
서울기독대학교,경영학과,207,24
서울기독대학교,교양사회과학부,207,34
서울기독대학교,기독교학과,207,8
서울대학교,교양공학부,2,71
서울대학교,교양인문학부,2,4
서울대학교,기타아시아어학과,2,9
서울대학교,독일어교육과,2,50
서울대학교,문화인류학과,2,19
서울대학교,산림자원학과,2,93
서울대학교,약학부,2,112
서울디지털대학교,경영학과,76,24
서울디지털대학교,경찰행정학과,76,28
서울디지털대학교,교양인문학부,76,4
서울디지털대학교,교육학과,76,45
서울디지털대학교,국제지역학과,76,7
서울디지털대학교,국제학부,76,39
서울디지털대학교,문예창작학과,76,16
서울디지털대학교,보건관리학과,76,107
서울디지털대학교,예술치료학과,76,115
서울사이버대학교,건축학과,77,65
서울사이버대학교,경영정보학과,77,23
서울사이버대학교,경영학과,77,24
서울사이버대학교,광고홍보학과,77,32
서울사이버대학교,교양사회과학부,77,34
서울사이버대학교,교양인문학부,77,4
서울사이버대학교,국방기술학과,77,74
서울사이버대학교,국어국문학과,77,5
서울사이버대학교,군사학과,77,40
서울사이버대학교,기계공학과,77,77
서울사이버대학교,농공학과,77,83
서울사이버대학교,문예창작학과,77,16
서울사이버대학교,예술치료학과,77,115
서울시립대학교,건축공학과,78,62
서울시립대학교,건축학과,78,65
서울시립대학교,경영학과,78,24
서울시립대학교,경제학과,78,26
서울시립대학교,교양인문학부,78,4
서울시립대학교,교통공학과,78,72
서울시립대학교,국어국문학과,78,5
서울시립대학교,국제관계학과,78,36
서울시립대학교,기계공학과,78,77
서울시립대학교,물리학과,78,88
서울시립대학교,생명과학과,78,95
서울신학대학교,교양인문학부,132,4
서울신학대학교,기타아시아어학과,132,9
서울여자간호대학교,간호과,344,101
서울여자대학교,교양공학부,79,71
서울여자대학교,교양사회과학부,79,34
서울여자대학교,교양인문학부,79,4
서울여자대학교,교양자연과학부,79,82
서울여자대학교,교육학과,79,45
서울여자대학교,국제학부,79,39
서울여자대학교,기독교학과,79,8
서울여자대학교,농공학과,79,83
서울여자대학교,독어독문학과,79,11
서울여자대학교,독일학과,79,12
서울여자대학교,생명과학과,79,95
서울예술대학교,문예창작과,213,15
서울한영대학교,기독교학과,208,8
서원대학교,교양공학부,154,71
서원대학교,국제학부,154,39
서원대학교,독어독문학과,154,11
서일대학교,경영회계정보과,266,25
서일대학교,바이오생명정보과,266,91
서정대학교,게임콘텐츠과,43,67
서정대학교,경영정보과,43,22
서정대학교,교양과,43,3
서정대학교,바이오동물과,43,90
서정대학교,반려동물과,43,92
서정대학교,소방안전관리과,43,111
서정대학교,의료정보시스템과,43,120
선린대학교,건축과,280,63
선린대학교,국방기술과,280,73
선린대학교,기계과,280,78
선린대학교,기계설계과,280,80
선린대학교,반려동물과,280,92
선린대학교,방사선과,280,105
선린대학교,보건행정과,280,108
선린대학교,산업안전과,280,110
선문대학교,경영학과,161,24
선문대학교,관광경영학과,161,30
선문대학교,교양경상학부,161,33
선문대학교,교양공학부,161,71
선문대학교,교양사회과학부,161,34
선문대학교,교양인문학부,161,4
선문대학교,국어국문학과,161,5
선문대학교,국제관계학과,161,36
선문대학교,국제지역학과,161,7
선문대학교,국제통상학과,161,38
선문대학교,국제학부,161,39
선문대학교,러시아어문학과,161,13
선문대학교,수산학과,161,100
성결대학교,교양인문학부,133,4
성결대학교,교양자연과학부,133,82
성결대학교,국제학부,133,39
성공회대학교,경제학과,80,26
성공회대학교,교양인문학부,80,4
성공회대학교,국제학부,80,39
성공회대학교,기독교학과,80,8
성공회대학교,기타유럽어학과,80,10
성균관대학교,건축공학과,81,62
성균관대학교,건축학과,81,65
성균관대학교,경영학과,81,24
성균관대학교,경제학과,81,26
성균관대학교,교양공학부,81,71
성균관대학교,교양사회과학부,81,34
성균관대학교,교양인문학부,81,4
성균관대학교,교양자연과학부,81,82
성균관대학교,교육학과,81,45
성균관대학교,국어국문학과,81,5
성균관대학교,기계공학과,81,77
성균관대학교,독어독문학과,81,11
성균관대학교,러시아어문학과,81,13
성균관대학교,문헌정보학과,81,18
성균관대학교,물리학과,81,88
성균관대학교,생명공학과,81,94
성균관대학교,생명과학과,81,95
성균관대학교,수학교육과,81,56
성균관대학교,약학부,81,112
성신여자대학교,가정교육과,82,41
성신여자대학교,간호학과,82,102
성신여자대학교,경영학과,82,24
성신여자대학교,경제학과,82,26
성신여자대학교,교양공학부,82,71
성신여자대학교,교양사회과학부,82,34
성신여자대학교,교양인문학부,82,4
성신여자대학교,교육학과,82,45
성신여자대학교,국어국문학과,82,5
성신여자대학교,독어독문학과,82,11
성신여자대학교,사회교육과,82,54
성신여자대학교,생명공학과,82,94
성신여자대학교,생명과학과,82,95
성신여자대학교,생물학과,82,97
성운대학교,농수산과,339,84
세경대학교,건설정보과,272,61
세경대학교,농수산과,272,84
세경대학교,소방안전관리과,272,111
세경대학교,예술치료과,272,114
세경대학교,의료정보시스템과,272,120
세계사이버대학,교양과,44,3
세명대학교,교양사회과학부,261,34
세종대학교,경제학과,3,26
세종대학교,고고학과,3,1
세종대학교,광학공학과,3,70
세종대학교,교양경상학부,3,33
세종대학교,교양공학부,3,71
세종대학교,교양사회과학부,3,34
세종대학교,교양인문학부,3,4
세종대학교,교양자연과학부,3,82
세종대학교,교육학과,3,45
세종대학교,국방기술학과,3,74
세종대학교,국어국문학과,3,5
세종대학교,국제통상학과,3,38
세종대학교,국제학부,3,39
세종대학교,기계공학과,3,77
세종대학교,문화인류학과,3,19
세종대학교,생명공학과,3,94
세종대학교,생명과학과,3,95
세종사이버대학교,경영학과,215,24
세종사이버대학교,경찰행정학과,215,28
세종사이버대학교,광고홍보학과,215,32
세종사이버대학교,교양사회과학부,215,34
세종사이버대학교,문예창작학과,215,16
세종사이버대학교,예술치료학과,215,115
송곡대학교,농수산과,336,84
송곡대학교,보건행정과,336,108
송곡대학교,의료정보시스템과,336,120
송원대학교,교양공학부,257,71
송원대학교,교통공학과,257,72
송호대학교,경영정보과,245,22
송호대학교,관광경영과,245,29
송호대학교,농수산과,245,84
송호대학교,방사선과,245,105
송호대학교,보건행정과,245,108
수성대학교,교양과,35,3
수성대학교,반려동물과,35,92
수성대학교,방사선과,35,105
수성대학교,보건행정과,35,108
수원과학대학교,건축과,237,63
수원과학대학교,건축설비과,237,64
수원과학대학교,게임콘텐츠과,237,67
수원과학대학교,경영정보과,237,22
수원과학대학교,경찰행정과,237,27
수원과학대학교,기계과,237,78
수원과학대학교,보건행정과,237,108
수원대학교,교양사회과학부,134,34
수원대학교,러시아어문학과,134,13
수원여자대학교,경영정보과,238,22
수원여자대학교,물리치료과,238,103
수원여자대학교,바이오생명정보과,238,91
수원여자대학교,반려동물과,238,92
수원여자대학교,보건행정과,238,108
숙명여자대학교,경영학과,4,24
숙명여자대학교,경제학과,4,26
숙명여자대학교,고고학과,4,1
숙명여자대학교,관광경영학과,4,30
숙명여자대학교,광고홍보학과,4,32
숙명여자대학교,교양공학부,4,71
숙명여자대학교,교양인문학부,4,4
숙명여자대학교,교양자연과학부,4,82
숙명여자대학교,교육학과,4,45
숙명여자대학교,국어국문학과,4,5
숙명여자대학교,국제통상학과,4,38
숙명여자대학교,국제학부,4,39
숙명여자대학교,기계공학과,4,77
숙명여자대학교,독어독문학과,4,11
숙명여자대학교,문헌정보학과,4,18
숙명여자대학교,물리학과,4,88
숙명여자대학교,생명과학과,4,95
숙명여자대학교,약학부,4,112
순천제일대학교,건설정보과,301,61
순천제일대학교,건축과,301,63
순천제일대학교,기계과,301,78
순천제일대학교,물리치료과,301,103
순천제일대학교,산업안전과,301,110
순천제일대학교,소방안전관리과,301,111
순천제일대학교,언어재활과,301,113
순천제일대학교,의료보장구과,301,118
순천향대학교,교양공학부,199,71
순천향대학교,국제문화정보학과,199,6
순천향대학교,약학부,199,112
숭실대학교,건축학과,83,65
숭실대학교,교양인문학부,83,4
숭실대학교,기독교학과,83,8
숭실대학교,문예창작학과,83,16
숭실대학교,생명과학과,83,95
숭실사이버대학교,경영학과,84,24
숭실사이버대학교,교양인문학부,84,4
숭실사이버대학교,교육학과,84,45
숭실사이버대학교,국어교육과,84,46
숭실사이버대학교,생명과학과,84,95
숭의여자대학교,가족복지과,219,21
숭의여자대학교,문헌정보과,219,17
숭의여자대학교,보건행정과,219,108
신경주대학교,건축학과,184,65
신경주대학교,교양인문학부,184,4
신경주대학교,방사선학과,184,106
신구대학교,건설정보과,239,61
신구대학교,게임콘텐츠과,239,67
신구대학교,경영정보과,239,22
신구대학교,관광경영과,239,29
신구대학교,국제경영과,239,35
신구대학교,농수산과,239,84
신구대학교,바이오동물과,239,90
신구대학교,바이오생명정보과,239,91
신라대학교,고고학과,8,1
신라대학교,광고홍보학과,8,32
신라대학교,교양공학부,8,71
신라대학교,교양인문학부,8,4
신라대학교,국제관계학과,8,36
신라대학교,국제통상학과,8,38
신라대학교,국제학부,8,39
신성대학교,산업안전과,349,110
신성대학교,소방안전관리과,349,111
신안산대학교,건축과,240,63
신안산대학교,게임콘텐츠과,240,67
신안산대학교,경영정보과,240,22
신안산대학교,경찰행정과,240,27
신안산대학교,기계과,240,78
신안산대학교,기계설계과,240,80
신안산대학교,바이오동물과,240,90
신안산대학교,바이오생명정보과,240,91
신안산대학교,반려동물과,240,92
신안산대학교,소방안전관리과,240,111
신한대학교,국제학부,135,39
아신대학교,교양인문학부,136,4
아신대학교,국제학부,136,39
아주대학교,교양공학부,196,71
아주대학교,약학부,196,112
안동과학대학교,간호과,302,101
안동과학대학교,건설정보과,302,61
안동과학대학교,물리치료과,302,103
안동과학대학교,바이오생명정보과,302,91
안동과학대학교,반려동물과,302,92
안동과학대학교,보건행정과,302,108
안동과학대학교,소방안전관리과,302,111
안동과학대학교,의료보장구과,302,118
안산대학교,교양과,45,3
안산대학교,반려동물과,45,92
안산대학교,방사선과,45,105
안산대학교,보건환경과,45,109
안산대학교,언어재활과,45,113
안산대학교,의료정보시스템과,45,120
안양대학교,교양인문학부,104,4
안양대학교,교양자연과학부,104,82
안양대학교,국제통상학과,104,38
안양대학교,생물학과,104,97
여주대학교,보건환경과,241,109
여주대학교,의료보장구과,241,118
연성대학교,게임콘텐츠과,242,67
연성대학교,경영정보과,242,22
연성대학교,관광경영과,242,29
연성대학교,반려동물과,242,92
연성대학교,보건행정과,242,108
연성대학교,응급구조과,242,116
연세대학교,경제학과,85,26
연세대학교,교양공학부,85,71
연세대학교,교양사회과학부,85,34
연세대학교,교양생활과학부,85,81
연세대학교,교양인문학부,85,4
연세대학교,교양자연과학부,85,82
연세대학교,교육학과,85,45
연세대학교,국어국문학과,85,5
연세대학교,국제지역학과,85,7
연세대학교,국제통상학과,85,38
연세대학교,기계공학과,85,77
연세대학교,대기과학과,85,85
연세대학교,독어독문학과,85,11
연세대학교,러시아어문학과,85,13
연세대학교,문헌정보학과,85,18
연세대학교,문화인류학과,85,19
연세대학교,약학부,85,112
연세대학교 미래캠퍼스,경영학과,150,24
연세대학교 미래캠퍼스,경제학과,150,26
연세대학교 미래캠퍼스,교양사회과학부,150,34
연세대학교 미래캠퍼스,교양인문학부,150,4
연세대학교 미래캠퍼스,교양자연과학부,150,82
연세대학교 미래캠퍼스,국어국문학과,150,5
연세대학교 미래캠퍼스,국제관계학과,150,36
연세대학교 미래캠퍼스,국제학부,150,39
연세대학교 미래캠퍼스,의료정보공학과,150,119
연암공과대학교,기계과,332,78
연암대학교,농수산과,337,84
연암대학교,바이오동물과,337,90
연암대학교,반려동물과,337,92
영남대학교,교양사회과학부,19,34
영남대학교,교양인문학부,19,4
영남대학교,기타유럽어학과,19,10
영남사이버대학교,교육학과,298,45
영남신학대학교,교양인문학부,185,4
영남외국어대학,간호과,352,101
영남외국어대학,보건행정과,352,108
영남이공대학교,간호과,229,101
영남이공대학교,건설정보과,229,61
영남이공대학교,건축과,229,63
영남이공대학교,건축설비과,229,64
영남이공대학교,경영정보과,229,22
영남이공대학교,경영회계정보과,229,25
영남이공대학교,국제경영과,229,35
영남이공대학교,기계과,229,78
영남이공대학교,물리치료과,229,103
영남이공대학교,반려동물과,229,92
영남이공대학교,보건행정과,229,108
영남이공대학교,의료보장구과,229,118
영산대학교,광고홍보학과,103,32
영산대학교,교양사회과학부,103,34
영산대학교,교양인문학부,103,4
영산대학교,교통공학과,103,72
영산대학교,국제지역학과,103,7
영산대학교,기계설계공학과,103,79
영산대학교,기타아시아어학과,103,9
영진사이버대학교,경영정보과,230,22
영진전문대학교,간호과,231,101
영진전문대학교,건축과,231,63
영진전문대학교,경영정보과,231,22
영진전문대학교,관광경영과,231,29
영진전문대학교,금형설계과,231,76
영진전문대학교,기계과,231,78
영진전문대학교,바이오동물과,231,90
영진전문대학교,반려동물과,231,92
영진전문대학교,보건행정과,231,108
영진전문대학교,응급구조과,231,116
예원예술대학교,경영학과,166,24
예원예술대학교,관광경영학과,166,30
예원예술대학교,교양인문학부,166,4
예원예술대학교,국어국문학과,166,5
오산대학교,게임콘텐츠과,46,67
오산대학교,관광경영과,46,29
오산대학교,교양과,46,3
오산대학교,기계과,46,78
오산대학교,바이오동물과,46,90
오산대학교,반려동물과,46,92
오산대학교,보건행정과,46,108
오산대학교,보건환경과,46,109
오산대학교,산업안전과,46,110
오산대학교,소방안전관리과,46,111
용인예술과학대학교,간호과,243,101
용인예술과학대학교,건축과,243,63
용인예술과학대학교,건축설비과,243,64
용인예술과학대학교,게임콘텐츠과,243,67
용인예술과학대학교,경영정보과,243,22
용인예술과학대학교,경찰행정과,243,27
용인예술과학대학교,기계과,243,78
용인예술과학대학교,반려동물과,243,92
용인예술과학대학교,보건행정과,243,108
용인예술과학대학교,의료정보시스템과,243,120
우석대학교,건축학과,217,65
우석대학교,광고홍보학과,217,32
우석대학교,교양사회과학부,217,34
우석대학교,국방기술학과,217,74
우석대학교,약학부,217,112
우송대학교,게임공학과,110,66
우송대학교,교양인문학부,110,4
우송대학교,교통공학과,110,72
우송대학교,보건관리학과,110,107
우송정보대학,간호과,32,101
우송정보대학,건축과,32,63
우송정보대학,경영정보과,32,22
우송정보대학,경영회계정보과,32,25
우송정보대학,교양과,32,3
우송정보대학,기계과,32,78
우송정보대학,바이오동물과,32,90
우송정보대학,반려동물과,32,92
우송정보대학,보건행정과,32,108
우송정보대학,산업안전과,32,110
우송정보대학,소방안전관리과,32,111
우송정보대학,언어재활과,32,113
울산과학기술원,경영학과,116,24
울산과학기술원,교양경상학부,116,33
울산과학기술원,교양공학부,116,71
울산과학기술원,교양인문학부,116,4
울산과학기술원,교양자연과학부,116,82
울산과학기술원,기계공학과,116,77
울산과학기술원,물리학과,116,88
울산과학기술원,생명공학과,116,94
울산과학기술원,생명과학과,116,95
울산과학대학교,건축과,232,63
울산과학대학교,기계과,232,78
울산과학대학교,물리치료과,232,103
울산과학대학교,산업안전과,232,110
울산과학대학교,의료정보시스템과,232,120
울산대학교,교양인문학부,117,4
울산대학교,교양자연과학부,117,82
웅지세무대학교,경영회계정보과,269,25
원광대학교,고고학과,17,1
원광대학교,교양자연과학부,17,82
원광대학교,국제문화정보학과,17,6
원광대학교,약학부,17,112
원광디지털대학교,경영학과,167,24
원광디지털대학교,경찰행정학과,167,28
원광디지털대학교,관광경영학과,167,30
원광디지털대학교,교양인문학부,167,4
원광디지털대학교,국어국문학과,167,5
원광디지털대학교,국제지역학과,167,7
원광디지털대학교,언어치료학과,167,59
원광보건대학교,간호과,54,101
원광보건대학교,관광경영과,54,29
원광보건대학교,교양과,54,3
원광보건대학교,물리치료과,54,103
원광보건대학교,방사선과,54,105
원광보건대학교,보건행정과,54,108
원광보건대학교,생활문화과,54,99
위덕대학교,교양공학부,264,71
위덕대학교,물리치료학과,264,104
위덕대학교,보건관리학과,264,107
위덕대학교,언어치료학과,264,59
유원대학교,교양공학부,155,71
유원대학교,농공학과,155,83
유한대학교,건축설비과,47,64
유한대학교,게임콘텐츠과,47,67
유한대학교,관광경영과,47,29
유한대학교,광고기획과,47,31
유한대학교,교양과,47,3
유한대학교,국제경영과,47,35
유한대학교,금형설계과,47,76
유한대학교,기계과,47,78
유한대학교,기계설계과,47,80
유한대학교,바이오생명정보과,47,91
유한대학교,반려동물과,47,92
유한대학교,보건행정과,47,108
유한대학교,보건환경과,47,109
유한대학교,산업안전과,47,110
을지대학교,광고홍보학과,137,32
을지대학교,광학공학과,137,70
을지대학교,교양생활과학부,137,81
을지대학교,교양인문학부,137,4
을지대학교,방사선학과,137,106
을지대학교,보건관리학과,137,107
을지대학교,응급구조학과,137,117
을지대학교,의료정보공학과,137,119
이화여자대학교,간호학과,86,102
이화여자대학교,건축공학과,86,62
이화여자대학교,건축학과,86,65
이화여자대학교,경영학과,86,24
이화여자대학교,경제학과,86,26
이화여자대학교,과학교육과,86,43
이화여자대학교,광고홍보학과,86,32
이화여자대학교,교양공학부,86,71
이화여자대학교,교양사회과학부,86,34
이화여자대학교,교양인문학부,86,4
이화여자대학교,교양자연과학부,86,82
이화여자대학교,교육공학과,86,44
이화여자대학교,교육학과,86,45
이화여자대학교,국어교육과,86,46
이화여자대학교,국어국문학과,86,5
이화여자대학교,국제지역학과,86,7
이화여자대학교,국제학부,86,39
이화여자대학교,기계공학과,86,77
이화여자대학교,기독교학과,86,8
이화여자대학교,독어독문학과,86,11
이화여자대학교,문헌정보학과,86,18
이화여자대학교,물리학과,86,88
이화여자대학교,보건관리학과,86,107
이화여자대학교,사회교육과,86,54
이화여자대학교,생명과학과,86,95
이화여자대학교,수학교육과,86,56
이화여자대학교,약학부,86,112
이화여자대학교,의료정보공학과,86,119
인덕대학교,건설정보과,281,61
인덕대학교,기계과,281,78
인덕대학교,기계설계과,281,80
인덕대학교,산업안전과,281,110
인제대학교,고고학과,21,1
인제대학교,교양경상학부,21,33
인제대학교,교양인문학부,21,4
인제대학교,국제지역학과,21,7
인제대학교,국제통상학과,21,38
인천가톨릭대학교,간호학과,355,102
인천대학교,교양사회과학부,105,34
인천대학교,교양인문학부,105,4
인하공업전문대학,건축과,283,63
인하공업전문대학,관광경영과,283,29
인하공업전문대학,기계과,283,78
인하공업전문대학,기계설계과,283,80
인하공업전문대학,바이오생명정보과,283,91
인하대학교,고분자공학과,106,68
인하대학교,교양사회과학부,106,34
인하대학교,교양인문학부,106,4
인하대학교,교양자연과학부,106,82
인하대학교,교육학과,106,45
인하대학교,국제통상학과,106,38
인하대학교,국제학부,106,39
인하대학교,금속공학과,106,75
인하대학교,기타아시아어학과,106,9
인하대학교,미술교육과,106,52
장안대학교,경영정보과,48,22
장안대학교,교양과,48,3
장안대학교,문예창작과,48,15
장안대학교,바이오동물과,48,90
장안대학교,바이오생명정보과,48,91
장안대학교,보건환경과,48,109
재능대학교,건축과,29,63
재능대학교,게임콘텐츠과,29,67
재능대학교,경영정보과,29,22
재능대학교,경영회계정보과,29,25
재능대학교,교양과,29,3
재능대학교,바이오생명정보과,29,91
재능대학교,보건행정과,29,108
재능대학교,보건환경과,29,109
전남과학대학교,건축과,307,63
전남과학대학교,게임콘텐츠과,307,67
전남과학대학교,농수산과,307,84
전남과학대학교,물리치료과,307,103
전남과학대학교,소방안전관리과,307,111
전남대학교,교양인문학부,121,4
전남도립대학교,건축과,275,63
전남도립대학교,경찰행정과,275,27
전남도립대학교,기계과,275,78
전남도립대학교,농수산과,275,84
전남도립대학교,보건행정과,275,108
전남도립대학교,산업안전과,275,110
전남도립대학교,소방안전관리과,275,111
전남도립대학교,의료정보시스템과,275,120
전북과학대학교,건축설비과,313,64
전북과학대학교,바이오생명정보과,313,91
전북과학대학교,보건행정과,313,108
전북대학교,교양인문학부,168,4
전북대학교,교양자연과학부,168,82
전주교육대학교,미술교육과,295,52
전주교육대학교,사회교육과,295,54
전주기전대학,건축과,55,63
전주기전대학,경영회계정보과,55,25
전주기전대학,경찰행정과,55,27
전주기전대학,교양과,55,3
전주기전대학,기계과,55,78
전주기전대학,농수산과,55,84
전주기전대학,바이오동물과,55,90
전주기전대학,반려동물과,55,92
전주기전대학,보건행정과,55,108
전주기전대학,보건환경과,55,109
전주기전대학,언어재활과,55,113
전주기전대학,응급구조과,55,116
전주대학교,교양경상학부,169,33
전주대학교,교양공학부,169,71
전주대학교,교양사회과학부,169,34
전주대학교,교양인문학부,169,4
전주대학교,교양자연과학부,169,82
전주비전대학교,건축과,247,63
전주비전대학교,경영정보과,247,22
전주비전대학교,기계과,247,78
전주비전대학교,보건행정과,247,108
전주비전대학교,응급구조과,247,116
전주비전대학교,의료정보시스템과,247,120
정석대학,경영학과,255,24
정화예술대학교,관광경영과,282,29
제주관광대학교,건축과,289,63
제주관광대학교,게임콘텐츠과,289,67
제주관광대학교,국제경영과,289,35
제주관광대학교,기계과,289,78
제주국제대학교,건축학과,265,65
제주국제대학교,언어치료학과,265,59
제주한라대학교,관광통역과,25,2
제주한라대학교,물리치료과,25,103
제주한라대학교,방사선과,25,105
제주한라대학교,보건행정과,25,108
제주한라대학교,응급구조과,25,116
조선대학교,고고학과,12,1
조선대학교,교양사회과학부,12,34
조선대학교,교양인문학부,12,4
조선대학교,교양자연과학부,12,82
조선대학교,기타아시아어학과,12,9
조선대학교,기타유럽어학과,12,10
조선대학교,문예창작학과,12,16
조선대학교,보건관리학과,12,107
조선이공대학교,건축과,304,63
조선이공대학교,게임콘텐츠과,304,67
조선이공대학교,기계과,304,78
조선이공대학교,기계설계과,304,80
조선이공대학교,보건행정과,304,108
중부대학교,게임공학과,138,66
중부대학교,교양인문학부,138,4
중앙대학교,건축공학과,5,62
중앙대학교,건축학과,5,65
중앙대학교,경영학과,5,24
중앙대학교,경제학과,5,26
중앙대학교,고고학과,5,1
중앙대학교,광고홍보학과,5,32
중앙대학교,교양공학부,5,71
중앙대학교,교양사회과학부,5,34
중앙대학교,교양인문학부,5,4
중앙대학교,교양자연과학부,5,82
중앙대학교,교육학과,5,45
중앙대학교,국어국문학과,5,5
중앙대학교,국제문화정보학과,5,6
중앙대학교,국제학부,5,39
중앙대학교,기계공학과,5,77
중앙대학교,독어독문학과,5,11
중앙대학교,러시아어문학과,5,13
중앙대학교,문예창작학과,5,16
중앙대학교,문헌정보학과,5,18
중앙대학교,생명공학과,5,94
중앙대학교,생명과학과,5,95
중앙대학교,약학부,5,112
중원대학교,교양공학부,262,71
중원대학교,교양사회과학부,262,34
중원대학교,국제통상학과,262,38
중원대학교,군사학과,262,40
중원대학교,생물학과,262,97
중원대학교,의료정보공학과,262,119
진주교육대학교,가정교육과,296,41
진주교육대학교,과학교육과,296,43
진주교육대학교,교육학과,296,45
진주교육대학교,국어교육과,296,46
진주교육대학교,미술교육과,296,52
진주교육대학교,사회교육과,296,54
진주교육대학교,수학교육과,296,56
진주보건대학교,간호과,354,101
진주보건대학교,보건행정과,354,108
차의과학대학교,교양사회과학부,139,34
차의과학대학교,교양인문학부,139,4
차의과학대학교,보건관리학과,139,107
차의과학대학교,생명공학과,139,94
차의과학대학교,약학부,139,112
차의과학대학교,예술치료학과,139,115
창신대학교,교양인문학부,190,4
창원문성대학교,간호과,223,101
창원문성대학교,건축과,223,63
창원문성대학교,기계과,223,78
창원문성대학교,문헌정보과,223,17
창원문성대학교,보건행정과,223,108
청강문화산업대학교,게임콘텐츠과,214,67
청강문화산업대학교,문예창작과,214,15
청암대학교,반려동물과,276,92
청암대학교,보건행정과,276,108
청암대학교,산업안전과,276,110
청암대학교,소방안전관리과,276,111
청암대학교,응급구조과,276,116
청암대학교,의료정보시스템과,276,120
청운대학교,교양공학부,206,71
청운대학교,교양사회과학부,206,34
청운대학교,국제지역학과,206,7
청운대학교,기타아시아어학과,206,9
청주대학교,교양사회과학부,13,34
청주대학교,교양인문학부,13,4
초당대학교,건축학과,173,65
초당대학교,교양사회과학부,173,34
초당대학교,교양인문학부,173,4
초당대학교,국제학부,173,39
초당대학교,기계공학과,173,77
총신대학교,교양인문학부,87,4
추계예술대학교,경영학과,88,24
추계예술대학교,교양인문학부,88,4
추계예술대학교,문예창작학과,88,16
춘해보건대학교,간호과,346,101
춘해보건대학교,물리치료과,346,103
춘해보건대학교,방사선과,346,105
춘해보건대학교,보건행정과,346,108
춘해보건대학교,언어재활과,346,113
춘해보건대학교,응급구조과,346,116
춘해보건대학교,의료보장구과,346,118
충남대학교,교양인문학부,11,4
충남도립대학교,건설정보과,274,61
충남도립대학교,경찰행정과,274,27
충남도립대학교,농수산과,274,84
충남도립대학교,보건환경과,274,109
충남도립대학교,소방안전관리과,274,111
충북도립대학교,기계과,323,78
충북도립대학교,바이오생명정보과,323,91
충북도립대학교,보건환경과,323,109
충북보건과학대학교,간호과,273,101
충북보건과학대학교,경찰행정과,273,27
충북보건과학대학교,기계과,273,78
충북보건과학대학교,물리치료과,273,103
충북보건과학대학교,바이오동물과,273,90
충북보건과학대학교,바이오생명정보과,273,91
충북보건과학대학교,방사선과,273,105
충북보건과학대학교,보건행정과,273,108
충북보건과학대학교,응급구조과,273,116
충청대학교,건설정보과,51,61
충청대학교,경영회계정보과,51,25
충청대학교,교양과,51,3
충청대학교,기계과,51,78
충청대학교,반려동물과,51,92
충청대학교,보건행정과,51,108
충청대학교,소방안전관리과,51,111
충청대학교,응급구조과,51,116
충청대학교,의료보장구과,51,118
충청대학교,의료정보시스템과,51,120
칼빈대학교,국제문화정보학과,204,6
평택대학교,간호학과,140,102
평택대학교,교양인문학부,140,4
평택대학교,교양자연과학부,140,82
포항공과대학교,교양공학부,186,71
포항공과대학교,교양인문학부,186,4
포항공과대학교,기계공학과,186,77
포항공과대학교,물리학과,186,88
포항공과대학교,생명과학과,186,95
포항대학교,경영정보과,250,22
포항대학교,국방기술과,250,73
포항대학교,기계과,250,78
포항대학교,물리치료과,250,103
포항대학교,보건행정과,250,108
포항대학교,소방안전관리과,250,111
포항대학교,응급구조과,250,116
한경국립대학교,교양경상학부,141,33
한경국립대학교,교양사회과학부,141,34
한경국립대학교,교양생활과학부,141,81
한경국립대학교,교양인문학부,141,4
한경국립대학교,동물자원학과,141,86
한경국립대학교,문예창작학과,141,16
한국공학대학교,교양공학부,258,71
한국과학기술원,경영학과,111,24
한국과학기술원,교양공학부,111,71
한국과학기술원,교양인문학부,111,4
한국과학기술원,교양자연과학부,111,82
한국과학기술원,기계공학과,111,77
한국과학기술원,물리학과,111,88
한국과학기술원,생명공학과,111,94
한국과학기술원,생명과학과,111,95
한국관광대학교,관광경영과,285,29
한국교원대학교,가정교육과,294,41
한국교원대학교,국어교육과,294,46
한국교원대학교,기술교육과,294,48
한국교원대학교,독일어교육과,294,50
한국교원대학교,물리교육과,294,51
한국교원대학교,미술교육과,294,52
한국교원대학교,불어교육과,294,53
한국교원대학교,생물교육과,294,55
한국교원대학교,수학교육과,294,56
한국교원대학교,역사교육과,294,60
한국기술교육대학교,건축공학과,163,62
한국기술교육대학교,건축학과,163,65
한국기술교육대학교,경영학과,163,24
한국기술교육대학교,교양공학부,163,71
한국기술교육대학교,교양인문학부,163,4
한국기술교육대학교,기계설계공학과,163,79
한국농수산대학교,교양과,56,3
한국농수산대학교,농수산과,56,84
한국농수산대학교,바이오생명정보과,56,91
한국농수산대학교,반려동물과,56,92
한국방송통신대학교,간호학과,89,102
한국방송통신대학교,경영학과,89,24
한국방송통신대학교,경제학과,89,26
한국방송통신대학교,관광경영학과,89,30
한국방송통신대학교,교양생활과학부,89,81
한국방송통신대학교,교양인문학부,89,4
한국방송통신대학교,교육학과,89,45
한국방송통신대학교,국어국문학과,89,5
한국방송통신대학교,농공학과,89,83
한국방송통신대학교,보건관리학과,89,107
한국복지사이버대학,경영정보과,58,22
한국복지사이버대학,경찰행정과,58,27
한국복지사이버대학,교양과,58,3
한국복지사이버대학,농수산과,58,84
한국복지사이버대학,문화재과,58,20
한국복지사이버대학,반려동물과,58,92
한국성서대학교,교양사회과학부,291,34
한국승강기대학교,기계과,333,78
