db_university,db_major,reason
건국대학교 글로컬캠퍼스,문예창작학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양대학교,건축학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양대학교,교양공학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양사이버대학교,경영학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양사이버대학교,광고홍보학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양사이버대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양사이버대학교,교육학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
건양사이버대학교,보건관리학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,건축과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,게임콘텐츠과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,경영정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,교양과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,금형설계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,기계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,기계설계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,바이오생명정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기과학기술대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기대학교,교통공학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기대학교,국제관계학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경기대학교,문예창작학과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남대학교,교양자연과학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남도립거창대학,간호과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남도립거창대학,건축과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남도립거창대학,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남도립남해대학,산업안전과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,건축과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,경영정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,경찰행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,교양과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,기계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,기계설계과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,문예창작과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,반려동물과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경남정보대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경동대학교,교양인문학부,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경민대학교,경영정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경민대학교,교양과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경민대학교,농수산과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경민대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경민대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경복대학교,경영정보과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경복대학교,관광경영과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경복대학교,반려동물과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경복대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북과학대학교,관광경영과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북과학대학교,국방기술과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북과학대학교,농수산과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북과학대학교,보건행정과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북도립대학교,소방안전관리과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북도립대학교,응급구조과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
경북보건대학교,보건환경과,학교 유사도 0.8 또는 학과 유사도 0.6 조건 미충족
